Amanita	SH318796.07FU	SH081605.07FU	SH037486.07FU	SH002833.07FU	37.09024|-95.712891
Amanita	SH318808.07FU	SH081633.07FU	SH037486.07FU	SH002833.07FU	4.570868|-74.297333
Amanita	SH318810.07FU	SH081605.07FU	SH037486.07FU	SH002833.07FU	56.130366|-106.346771
Amanita	SH318739.07FU	SH081605.07FU	SH037486.07FU	SH002833.07FU	56.130366|-106.346771, 37.09024|-95.712891
Amanita	SH318733.07FU	SH081603.07FU	SH037486.07FU	SH002833.07FU	61.92411|25.748151, 58.595272|25.013607, 55.378051|-3.435973, 36.204824|138.252924, 58.595272|25.013607, 35.86166|104.195397, 49.817492|15.472962, 60.128161|18.643501, 56.26392|9.501785
Amanita	SH320483.07FU	SH082319.07FU	SH038015.07FU	SH003264.07FU	23.634501|-102.552784
Amanita	SH320484.07FU	SH082319.07FU	SH038015.07FU	SH003264.07FU	23.634501|-102.552784
Amanita	SH320521.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	28.394857|84.124008
Amanita	SH320522.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	28.394857|84.124008
Amanita	SH320442.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	32.427908|53.688046
Amanita	SH320478.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	32.427908|53.688046
Amanita	SH320503.07FU	SH082303.07FU	SH038015.07FU	SH003264.07FU	35.86166|104.195397
Amanita	SH320587.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	35.86166|104.195397
Amanita	SH320422.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	35.86166|104.195397, 20.593684|78.96288, 28.394857|84.124008
Amanita	SH320525.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	35.907757|127.766922
Amanita	SH320523.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	36.204824|138.252924
Amanita	SH320528.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	36.204824|138.252924
Amanita	SH320541.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	36.204824|138.252924
Amanita	SH320412.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	36.204824|138.252924, 35.907757|127.766922
Amanita	SH320429.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	36.204824|138.252924, 36.204824|138.252924
Amanita	SH320494.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	37.09024|-95.712891
Amanita	SH320590.07FU	SH082299.07FU	SH038015.07FU	SH003264.07FU	37.09024|-95.712891
Amanita	SH320586.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	40.463667|-3.74922
Amanita	SH320447.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	51.165691|10.451526
Amanita	SH320519.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	55.378051|-3.435973
Amanita	SH320433.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	55.378051|-3.435973, 51.919438|19.145136
Amanita	SH320515.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	56.26392|9.501785
Amanita	SH320411.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	56.26392|9.501785, 41.87194|12.56738, 55.378051|-3.435973, 60.128161|18.643501, 58.595272|25.013607
Amanita	SH320458.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	58.595272|25.013607
Amanita	SH320463.07FU	SH082329.07FU	SH038015.07FU	SH003264.07FU	58.595272|25.013607
Amanita	SH320593.07FU	SH082301.07FU	SH038015.07FU	SH003264.07FU	60.128161|18.643501
Amanita	SH333715.07FU	SH087501.07FU	SH041492.07FU	SH005896.07FU	35.907757|127.766922
Amanita	SH333717.07FU	SH087501.07FU	SH041492.07FU	SH005896.07FU	35.907757|127.766922
Amanita	SH333718.07FU	SH087503.07FU	SH041494.07FU	SH005896.07FU	35.907757|127.766922
Amanita	SH387073.07FU	SH107715.07FU	SH055461.07FU	SH016773.07FU	36.204824|138.252924
Amanita	SH387074.07FU	SH107715.07FU	SH055461.07FU	SH016773.07FU	36.204824|138.252924
Amanita	SH387075.07FU	SH107725.07FU	SH055466.07FU	SH016773.07FU	36.204824|138.252924
Amanita	SH448309.07FU	SH133635.07FU	SH074241.07FU	SH032132.07FU	40.463667|-3.74922, 42.733883|25.48583
Amanita	SH448402.07FU	SH133635.07FU	SH074241.07FU	SH032132.07FU	56.26392|9.501785
Amanita	SH448409.07FU	SH133635.07FU	SH074241.07FU	SH032132.07FU	56.26392|9.501785
Amanita	SH448407.07FU	SH133635.07FU	SH074241.07FU	SH032132.07FU	60.128161|18.643501
Amanita	SH448408.07FU	SH133635.07FU	SH074241.07FU	SH032132.07FU	60.128161|18.643501
Amanita	SH448314.07FU	SH133649.07FU	SH074250.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH448326.07FU	SH133638.07FU	SH074238.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH448327.07FU	SH133658.07FU	SH074238.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH448328.07FU	SH133638.07FU	SH074238.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH448329.07FU	SH133638.07FU	SH074238.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH448330.07FU	SH133638.07FU	SH074238.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH448331.07FU	SH133638.07FU	SH074238.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH448332.07FU	SH133638.07FU	SH074238.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH448334.07FU	SH133642.07FU	SH074238.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH448335.07FU	SH133642.07FU	SH074238.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH448336.07FU	SH133659.07FU	SH074238.07FU	SH032129.07FU	37.09024|-95.712891
Amanita	SH448337.07FU	SH133660.07FU	SH074260.07FU	SH032129.07FU	37.09024|-95.712891
